ID,riesgo,categoría,subcategoría,tipo_riesgo,objetivo_alcance,objetivo_cronograma,objetivo_costos,objetivo_calidad,tipo_impacto,probabilidad,valor_probabilidad,impacto_alcance,impacto_cronograma,impacto_costos,impacto_calidad,valor_alcance,valor_cronograma,valor_costos,valor_calidad,puntuacion_alcance,puntuacion_cronograma,puntuacion_costos,puntuacion_calidad,valoracion_global,prioridad_riesgo,dueño,responsable,plan_respuesta_predet,estrategia_respuesta,plan_respuesta_adapt,riesgo_residual,riesgo_activado,fecha_activacion,proyecto
FM-R18,Visualización de despacho de productos podría estar desactualizado,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.14,Moderada,,,,,,,,,Farmacia
FM-R19,Servicio de transporte podría brindar un servicio deficiente,Riesgo comercial,Términos y condiciones contractuales,Oportunidad,,,,1,Indirecto,Media,0.50,,,,Alto,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.20,Alta,,,,,,,,,Farmacia
FM-R20,Saturación del servicio de transporte podría tener problemas de despacho de productos,Riesgo comercial,Estabilidad de los clientes,Oportunidad,,,,1,Directo,Baja,0.30,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.03,0.03,Baja,,,,,,,,,Farmacia
IN-R01,Plazos definidos para intranet podrían ser insuficientes,Riesgo de gestión,Dirección de proyecto,Amenaza,1,1,1,1,Directo,Baja,0.30,Moderado,Alto,Bajo,Bajo,0.20,0.40,0.10,0.10,0.06,0.12,0.03,0.03,0.12,Moderada,,,,,,,,,Intranet
IN-R02,Intranet podría causar problemas de rendimiento en la red corporativa,Riesgo técnico,Rendimiento y fiabilidad,Oportunidad,,,,1,Indirecto,Media,0.50,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.01,Baja,,,,,,,,,Intranet
IN-R03,Integración de intranet con sistemas actuales podría ser incompatible,Riesgo técnico,Tecnología,Oportunidad,1,1,1,1,Directo,Alta,0.70,Moderado,Bajo,Bajo,Moderado,0.20,0.10,0.10,0.20,0.14,0.07,0.07,0.14,0.17,Moderada,,,,,,,,,Intranet
IN-R04,Implementar base de datos en la nube podría aumentar costos,Riesgo de gestión,Dotación de recursos,Amenaza,1,,1,,Directo,Baja,0.30,Moderado,,Alto,,0.20,0.00,0.40,0.00,0.06,0.00,0.12,0.00,0.13,Moderada,,,,,,,,,Intranet
IN-R05,Velocidad de intranet podría ser inferior a la requerida,Riesgo técnico,Rendimiento y fiabilidad,Amenaza,,,,1,Indirecto,Media,0.50,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.02,Baja,,,,,,,,,Intranet
IN-R06,Personal técnico para mantenimiento de intranet podría ser insuficiente,Riesgo de gestión,Dotación de recursos,Oportunidad,,1,1,1,Directo,Media,0.50,,Moderado,Bajo,Moderado,0.00,0.20,0.10,0.20,0.00,0.10,0.05,0.10,0.13,Moderada,,,,,,,,,Intranet
IN-R07,Roles de usuarios podrían estar mal definidos o incompletos,Riesgo técnico,Clasificación de roles,Amenaza,1,1,,1,Directo,Alta,0.70,Bajo,Bajo,,Alto,0.10,0.10,0.00,0.40,0.07,0.07,0.00,0.28,0.11,Moderada,,,,,,,,,Intranet
IN-R08,Publicaciones de intranet podrían ser inconsistentes/poco claras,Riesgo técnico,Interfaces técnicas,Oportunidad,,,,1,Directo,Alta,0.70,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.07,0.01,Baja,,,,,,,,,Intranet
IN-R09,Personal con rol de editor podrían ser insuficientes,Riesgo de gestión,Dotación de recursos,Oportunidad,1,1,1,,Directo,Alta,0.70,Muy bajo,Bajo,Muy bajo,,0.05,0.10,0.05,0.00,0.03,0.07,0.03,0.00,0.08,Moderada,,,,,,,,,Intranet
IN-R10,Capacitación de editores podría ser deficiente/insuficiente,Riesgo de gestión,Capacitación,Oportunidad,1,1,1,1,Directo,Media,0.50,Moderado,Moderado,Bajo,Alto,0.20,0.20,0.10,0.40,0.10,0.10,0.05,0.20,0.17,Moderada,,,,,,,,,Intranet
IN-R11,Subida de archivos  a intranet podría ser muy lento,Riesgo técnico,Rendimiento y fiabilidad,Amenaza,,,,1,Indirecto,Alta,0.70,,,,Alto,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.28,0.06,Moderada,,,,,,,,,Intranet
IN-R12,Complejidad de Intranet podría causar bajas en la productividad de los colaboradores,Riesgo de gestión,Organización,Amenaza,,,1,1,Directo,Media,0.50,,,Alto,Muy alto,0.00,0.00,0.40,0.80,0.00,0.00,0.20,0.40,0.28,Alta,,,,,,,,,Intranet
IN-R13,Publicaciones masivas Podrían generar información redundante,Riesgo técnico,Rendimiento y fiabilidad,Amenaza,1,1,1,1,Directo,Alta,0.70,Bajo,Moderado,Bajo,Moderado,0.10,0.20,0.10,0.20,0.07,0.14,0.07,0.14,0.20,Alta,,,,,,,,,Intranet
IN-R14,Colaboradores podrían tener una resistencia al uso de la intranet,Riesgo de gestión,Organización,Oportunidad,,1,,1,Directo,Baja,0.30,,Bajo,,Bajo,0.00,0.10,0.00,0.10,0.00,0.03,0.00,0.03,0.02,Baja,,,,,,,,,Intranet
IN-R15,Mal uso de las credenciales de usuario podrían causar problemas de seguridad,Riesgo técnico,Seguridad,Amenaza,,,,1,Directo,Alta,0.70,,,,Muy bajo,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.03,0.01,Baja,,,,,,,,,Intranet
TM-R01,Levantamiento de casos médicos a especialistas podría ser ineficiente,Riesgo de gestión,Gestión de las operaciones,Amenaza,,,,1,Indirecto,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.14,Moderada,,,,,,,,,Telemedicina
TM-R02,Capacitación del personal médico podría ser insuficiente,Riesgo de gestión,Dotación de recursos,Oportunidad,,,,1,Indirecto,Media,0.50,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.10,Moderada,,,,,,,,,Telemedicina
TM-R03,La geolocalización podría afectar la experiencia de usuario,Riesgo de gestión,Comunicación,Oportunidad,1,,,1,Indirecto,Alta,0.70,Bajo,,,Moderado,0.10,0.00,0.00,0.20,0.07,0.00,0.00,0.14,0.15,Moderada,,,,,,,,,Telemedicina
TM-R04,El traspaso de formatos de las imágenes podría perder las dimensiones de estas,Riesgo técnico,Tecnología,Amenaza,1,1,1,1,Indirecto,Alta,0.70,Moderado,Bajo,Muy bajo,Bajo,0.20,0.10,0.05,0.10,0.14,0.07,0.03,0.07,0.14,Moderada,,,,,,,,,Telemedicina
TM-R05,"El manejo de información confidencial de los pacientes podría perderse, filtrarse o ser robado",Riesgo técnico,Tecnología,Amenaza,1,1,1,1,Directo,Baja,0.30,Alto,Moderado,Bajo,Alto,0.40,0.20,0.10,0.40,0.12,0.06,0.03,0.12,0.18,Alta,,,,,,,,,Telemedicina
TM-R06,La compresión de datos e imágenes podría provocar una pérdida de estos,Riesgo técnico,Procesos técnicos,Amenaza,1,1,1,1,Indirecto,Baja,0.30,Bajo,Muy bajo,Muy bajo,Moderado,0.10,0.05,0.05,0.20,0.03,0.01,0.01,0.06,0.08,Moderada,,,,,,,,,Telemedicina
TM-R07,La tecnología e infraestructura que tiene actualmente la organización podría ser insuficiente para la implantación de telemedicina,Riesgo técnico,Tecnología,Amenaza,1,1,1,,Directo,Baja,0.30,Alto,Moderado,Moderado,,0.40,0.20,0.20,0.00,0.12,0.06,0.06,0.00,0.07,Moderada,,,,,,,,,Telemedicina
TM-R08,Suplantación de identidad en la autentificación de usuario podría generar problemas de seguridad,Riesgo técnico,Tecnología,Amenaza,1,,,1,Indirecto,Baja,0.30,Alto,,,Alto,0.40,0.00,0.00,0.40,0.12,0.00,0.00,0.12,0.14,Moderada,,,,,,,,,Telemedicina
TM-R09,Los protocolos de seguridad podrían ser insuficientes,Riesgo técnico,Procesos técnicos,Oportunidad,1,1,,,Indirecto,Baja,0.30,Alto,Bajo,,,0.40,0.10,0.00,0.00,0.12,0.03,0.00,0.00,0.04,Baja,,,,,,,,,Telemedicina
TM-R10,Los formularios necesarios para completar una anamnesis podrían ser insuficientes para la atención inicial,Riesgo técnico,Definición de los requisitos,Amenaza,1,,,1,Indirecto,Alta,0.70,Moderado,,,Moderado,0.20,0.00,0.00,0.20,0.14,0.00,0.00,0.14,0.17,Moderada,,,,,,,,,Telemedicina
VS-R01,Los plazos de entrega de los proyectos podrían ser muy acotados,Riesgo de gestión,Dirección de proyectos,Amenaza,1,1,1,,Directo,Baja,0.30,Alto,Alto,Alto,,0.40,0.40,0.40,0.00,0.12,0.12,0.12,0.00,0.30,Alta,,,,,,,,,Vida sana
VS-R02,El plan de comunicación del proyecto podría ser insuficiente/incorrecto,Riesgo de gestión,Comunicación,Amenaza,1,1,1,1,Directo,Baja,0.30,Alto,Moderado,Bajo,Bajo,0.40,0.20,0.10,0.10,0.12,0.06,0.03,0.03,0.21,Alta,,,,,,,,,Vida sana
VS-R03,Personal asignado a cada proyecto   podría ser insuficiente,Riesgo de gestión,Dotación de recursos,Amenaza,1,1,1,1,Directo,Media,0.50,Alto,Alto,Moderado,Moderado,0.40,0.40,0.20,0.20,0.20,0.20,0.10,0.10,0.50,Alta,,,,,,,,,Vida sana
VS-R04,Control de cambios podría no ser gestionado adecuadamente,Riesgo de gestión,Dirección de proyectos,Amenaza,1,1,1,1,Directo,Media,0.50,Alto,Moderado,Bajo,Bajo,0.40,0.20,0.10,0.10,0.20,0.10,0.05,0.05,0.35,Alta,,,,,,,,,Vida sana
VS-R05,Velocidad de la red corporativa podría resentirse con la implementación de las soluciones,Riesgo técnico,Rendimiento y fiabilidad,Oportunidad,,,,1,Indirecto,Alta,0.70,,,,Alto,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.28,0.14,Moderada,,,,,,,,,Vida sana
VS-R06,Red corporativa podría requerir nuevas implementaciones de hardware,Riesgo técnico,Tecnología,Amenaza,,1,1,,Indirecto,Media,0.50,,Moderado,Alto,,0.00,0.20,0.40,0.00,0.00,0.10,0.20,0.00,0.20,Alta,,,,,,,,,Vida sana
VS-R07,Seguridad de la red podría ser insuficiente,Riesgo técnico,Seguridad,Oportunidad,1,1,,1,Indirecto,Alta,0.70,Bajo,Bajo,,Alto,0.10,0.10,0.00,0.40,0.07,0.07,0.00,0.28,0.28,Alta,,,,,,,,,Vida sana
VS-R08,Personal técnico a cargo de la conectividad podría ser  insuficiente,Riesgo de gestión,Dotación de recursos,Oportunidad,1,1,1,,Indirecto,Media,0.50,Bajo,Bajo,Moderado,,0.10,0.10,0.20,0.00,0.05,0.05,0.10,0.00,0.15,Moderada,,,,,,,,,Vida sana
VS-R09,Servicios del proveedor de internet podrían ser insuficientes ,Riesgo comercial,Términos y condiciones,Amenaza,,,1,1,Directo,Baja,0.30,,,Moderado,Alto,0.00,0.00,0.20,0.40,0.00,0.00,0.06,0.12,0.09,Moderada,,,,,,,,,Vida sana
VS-R10,Hardware del holding podría no soportar el funcionamiento óptimo de las soluciones,Riesgo técnico,Tecnología,Oportunidad,,,1,1,Directo,Media,0.50,,,Bajo,Alto,0.00,0.00,0.10,0.40,0.00,0.00,0.05,0.20,0.13,Moderada,,,,,,,,,Vida sana
VS-R11,Soluciones podrían aumentar los costos en adquirir nuevo hardware,Riesgo comercial,Contratos y proveedores,Oportunidad,,1,1,,Directo,Media,0.50,,Bajo,Bajo,,0.00,0.10,0.10,0.00,0.00,0.05,0.05,0.00,0.08,Moderada,,,,,,,,,Vida sana
VS-R12,Autentificación de usuarios/clientes podría ser insegura,Riesgo técnico,Procesos técnicos,Oportunidad,,,,1,Directo,Media,0.50,,,,Alto,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.10,Moderada,,,,,,,,,Vida sana
VS-R13,usuarios podrían perder la visualización de su contenido luego de autentificarse,Riesgo técnico,Interfaces técnicas,Amenaza,,,,1,Indirecto,Baja,0.30,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.06,0.03,Baja,,,,,,,,,Vida sana
VS-R14,Roles y permisos de usuarios podrían ser incongruentes,Riesgo técnico,Estabilidad de los usuarios,Amenaza,,,,1,Directo,Alta,0.70,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.07,0.04,Baja,,,,,,,,,Vida sana
VS-R15,Visualización del contenido podría ser inexacto,Riesgo técnico,Estabilidad de los usuarios,Amenaza,,,,1,Directo,Media,0.50,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.03,Baja,,,,,,,,,Vida sana
VS-R16,Administración de usuarios podría ser confusa,Riesgo técnico,Interfaces técnicas,Oportunidad,,,,1,Directo,Media,0.50,,,,Muy bajo,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.03,0.01,Baja,,,,,,,,,Vida sana
VS-R17,Usuarios del sistema podrían ser eliminados,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Indirecto,Muy baja,0.10,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.02,0.01,Baja,,,,,,,,,Vida sana
VS-R18,Usuarios podrían cambiar información libremente en su perfil,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Indirecto,Alta,0.70,,,,Muy bajo,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.03,0.02,Baja,,,,,,,,,Vida sana
VS-R19,Registrar usuarios por lotes podría traer inconvenientes de consistencia,Riesgo técnico,Procesos técnicos,Oportunidad,1,1,,1,Indirecto,Muy alta,0.90,Muy bajo,Bajo,,Bajo,0.05,0.10,0.00,0.10,0.05,0.09,0.00,0.09,0.18,Alta,,,,,,,,,Vida sana
VS-R20,Registro de clientes podría ser confuso,Riesgo comercial,Estabilidad de los clientes,Amenaza,,,,1,Indirecto,Baja,0.30,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.06,0.03,Baja,,,,,,,,,Vida sana
VS-R21,Gestor de contraseñas podría ser ineficiente para  el registro de clientes,Riesgo técnico,Seguridad,Oportunidad,,,,1,Directo,Media,0.50,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.05,Baja,,,,,,,,,Vida sana
VS-R22,Cliente podría no visualizar su contenido apropiadamente,Riesgo comercial,Estabilidad de los clientes,Amenaza,,,,1,Directo,Media,0.50,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.03,Baja,,,,,,,,,Vida sana
VS-R23,Servidor sharepoint podría estar mal configurado,Riesgo técnico,Procesos técnicos,Oportunidad,1,1,1,1,Directo,Baja,0.30,Muy bajo,Bajo,Bajo,Moderado,0.05,0.10,0.10,0.20,0.01,0.03,0.03,0.06,0.09,Moderada,,,,,,,,,Vida sana
VS-R24,Servidor sharepoint podría tener problemas de disponibilidad,Riesgo técnico,Procesos técnicos,Oportunidad,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.07,Moderada,,,,,,,,,Vida sana
VS-R25,Personal de TI podría tener conocimientos limitados sobre sharepoint,Riesgo de gestión,Capacitación,Oportunidad,,1,1,,Directo,Media,0.50,,Muy bajo,Bajo,,0.00,0.05,0.10,0.00,0.00,0.03,0.05,0.00,0.05,Baja,,,,,,,,,Vida sana
VS-R26,Subir archivos multimedia podría tener problemas de velocidad,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Indirecto,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.07,Moderada,,,,,,,,,Vida sana
VS-R27,Subir archivos multimedia podría traer problemas de seguridad,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Indirecto,Alta,0.70,,,,Alto,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.28,0.14,Moderada,,,,,,,,,Vida sana
VS-R28,Subir archivos al servidor podría causar deterioro de los datos,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.07,Moderada,,,,,,,,,Vida sana
VS-R29,Subir archivos al servidor podrían perderse los datos,Riesgo comercial,Estabilidad de los clientes,Amenaza,,,,1,Directo,Baja,0.30,,,,Muy alto,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.24,0.12,Moderada,,,,,,,,,Vida sana
VS-R30,Asistente chatvox podría no estar disponible,Riesgo técnico,Procesos técnicos,Amenaza,,,,1,Directo,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.07,Moderada,,,,,,,,,Vida sana
VS-R31,Agendamiento de consultas por medio de chatvox podrían ser incorrectas,Riesgo comercial,Estabilidad de los clientes,Amenaza,,,,1,Directo,Baja,0.30,,,,Alto,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.12,0.06,Moderada,,,,,,,,,Vida sana
VS-R32,Chatvox podría no tener respuestas correctas a consultas,Riesgo comercial,Estabilidad de los clientes,Amenaza,,,,1,Indirecto,Media,0.50,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.10,0.05,Baja,,,,,,,,,Vida sana
VS-R33,Chatvox podría tener problemas de derivación a ejecutivos,Riesgo comercial,Estabilidad de los clientes,Amenaza,,,,1,Indirecto,Alta,0.70,,,,Moderado,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.14,0.07,Moderada,,,,,,,,,Vida sana
VS-R34,Contenidos podrían visualizarse incorrectamente en los navegadores indicados,Riesgo técnico,Interfaces técnicas,Oportunidad,,,,1,Directo,Alta,0.70,,,,Bajo,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.07,0.04,Baja,,,,,,,,,Vida sana
VS-R35,Portales podrían ser incompatibles con versiones de sistemas operativos móviles antiguos,Riesgo técnico,Interfaces técnicas,Oportunidad,1,1,1,1,Directo,Muy alta,0.90,Bajo,Bajo,Muy bajo,Moderado,0.10,0.10,0.05,0.20,0.09,0.09,0.05,0.18,0.29,Alta,,,,,,,,,Vida sana
VS-R36,Despliegue de información podría ser deficiente en dispositivos móviles ,Riesgo comercial,Estabilidad de los clientes,Oportunidad,1,1,1,1,Directo,Alta,0.70,Bajo,Bajo,Muy bajo,Moderado,0.10,0.10,0.05,0.20,0.07,0.07,0.03,0.14,0.23,Alta,,,,,,,,,Vida sana
VS-R37,Podría haber fuga de personal encargado en el  desarrollo del proyecto,Riesgo de gestión,Dotación de recursos,Oportunidad,1,1,1,1,Directo,Baja,0.30,Moderado,Bajo,Bajo,Muy bajo,0.20,0.10,0.10,0.05,0.06,0.03,0.03,0.01,0.11,Moderada,,,,,,,,,Vida sana
